"Time"
2024-09-23 08:54:00.313166
2024-09-23 08:55:00.371491
2024-09-23 08:56:00.432528
2024-09-23 08:57:00.477657
2024-09-23 08:58:00.528153
2024-09-23 08:59:00.568612
2024-09-23 09:00:00.605616
2024-09-23 09:01:00.666664
2024-09-23 09:02:00.714973
2024-09-23 09:03:00.736421
2024-09-23 09:04:00.797472
2024-09-23 09:05:00.857949
2024-09-23 09:06:00.923518
2024-09-23 09:07:00.980538
2024-09-23 09:08:01.048008
2024-09-23 09:09:01.108532
2024-09-23 09:10:01.165554
2024-09-23 09:11:01.217401
2024-09-23 09:12:01.276571
2024-09-23 09:13:01.334237
2024-09-23 09:14:01.392545
2024-09-23 09:15:01.440258
2024-09-23 09:16:01.472226
2024-09-23 09:17:01.503632
2024-09-23 09:18:01.567283
2024-09-23 09:19:01.580409
2024-09-23 09:20:01.624539
2024-09-23 09:21:01.684579
2024-09-23 09:22:01.727626
2024-09-23 09:23:01.748513
2024-09-23 09:24:01.752571
2024-09-23 09:25:01.787966
2024-09-23 09:26:01.844023
2024-09-23 09:27:01.889126
2024-09-23 09:28:01.946121
2024-09-23 09:29:01.991876
2024-09-23 09:30:02.008605
2024-09-23 09:31:02.068539
2024-09-23 09:32:02.129871
2024-09-23 09:33:02.188527
2024-09-23 09:34:02.232555
2024-09-23 09:35:02.278985
2024-09-23 09:36:02.28459
2024-09-23 09:37:02.345665
2024-09-23 09:38:02.407111
2024-09-23 09:39:02.453221
2024-09-23 09:40:02.514183
2024-09-23 09:41:02.575257
2024-09-23 09:42:02.635173
2024-09-23 09:43:02.692529
2024-09-23 09:44:02.753602
2024-09-23 09:45:02.803106
2024-09-23 09:46:02.854115
2024-09-23 09:47:02.91282
2024-09-23 09:48:02.973832
2024-09-23 09:49:02.991784
2024-09-23 09:50:03.050375
2024-09-23 09:51:03.096563
2024-09-23 09:52:03.157521
2024-09-23 09:53:03.220957
2024-09-23 09:54:03.280568
2024-09-23 09:55:03.340528
2024-09-23 09:56:03.384149
2024-09-23 09:57:03.415278
2024-09-23 09:58:03.453592
2024-09-23 09:59:03.514582
2024-09-23 10:00:03.528923
2024-09-23 10:01:03.590105
2024-09-23 10:02:03.636754
2024-09-23 10:03:03.697779
2024-09-23 10:04:03.757674
2024-09-23 10:05:03.80468
2024-09-23 10:06:03.865597
2024-09-23 10:07:03.910459
2024-09-23 10:08:03.955792
2024-09-23 10:09:04.007839
2024-09-23 10:10:04.068517
2024-09-23 10:11:04.128633
2024-09-23 10:12:04.155735
2024-09-23 10:13:04.215117
2024-09-23 10:14:04.272519
2024-09-23 10:15:04.332534
2024-09-23 10:16:04.392525
2024-09-23 10:17:04.452259
2024-09-23 10:18:04.472541
2024-09-23 10:19:04.532539
2024-09-23 10:20:04.593115
2024-09-23 10:21:04.632541
2024-09-23 10:22:04.693521
2024-09-23 10:23:04.754491
2024-09-23 10:24:04.809542
2024-09-23 10:25:04.864663
2024-09-23 10:26:04.925678
2024-09-23 10:27:04.969581
